,text,label,training_label,cleaned,transliterated_text
669,എന്ത് കോപ്പില നിയമം,original,0,എന്ത് കോപ്പില നിയമം,എന്ത് കോപ്പില നിയമം
670,"മുസ്ലിമോ,ക്രിസ്ത്യാനിയൊ ആയിരുന്നു എങ്കിൽ ഇപ്പോൾ പോലീസ് വെടി വെച്ച് ഓടിചെനെ.കുംഭമേള നിർത്തണം.അല്ലെങ്കിൽ ഈ ചെറ്റകൾ നാട് മൂടിപിക്കും",Fake,1,"മുസ്ലിമോ,ക്രിസ്ത്യാനിയൊ ആയിരുന്നു എങ്കിൽ ഇപ്പോൾ പോലീസ് വെടി വെച്ച് ഓടിചെനെ.കുംഭമേള നിർത്തണം.അല്ലെങ്കിൽ ഈ ചെറ്റകൾ നാട് മൂടിപിക്കും","മുസ്ലിമോ,ക്രിസ്ത്യാനിയൊ ആയിരുന്നു എങ്കിൽ ഇപ്പോൾ പോലീസ് വെടി വെച്ച് ഓടിചെനെ.കുംഭമേള നിർത്തണം.അല്ലെങ്കിൽ ഈ ചെറ്റകൾ നാട് മൂടിപിക്കും"
671,IMA SPONSORED program..no doubt,Fake,1,ima sponsored program..no doubt,ഇമ സ്പോൺസർഡ് പ്രോഗ്രാം..നോ ഡബ്റ്റ്
672,"ഓർമ വരുന്നത് പണ്ട് ഒരു താലിഡോമൈഡ് കേസുണ്ടായിരുന്നു, അതിന്റെ സുരക്ഷിതത്തെ പറ്റി നിർമാണ കമ്പനി അവസാന നിമിഷം വരെ വാദിച്ചു, അവസാനം അത് അപകടം തന്നെയാണെന്നുള്ള, കേസ് കൊടുത്ത ഡോക്ടറുടെ വാദം കോടതി അംഗീകരിക്കുകയും, മരുന്ന് കമ്പനി നഷ്ട പരിഹാരം കൊടുക്കേണ്ടുന്ന അവസ്ഥ വരുകയും ചെയ്തു, ഇതൊക്കെ ഓർക്കുന്നത് നന്ന്",Fake,1,"ഓർമ വരുന്നത് പണ്ട് ഒരു താലിഡോമൈഡ് കേസുണ്ടായിരുന്നു, അതിന്റെ സുരക്ഷിതത്തെ പറ്റി നിർമാണ കമ്പനി അവസാന നിമിഷം വരെ വാദിച്ചു, അവസാനം അത് അപകടം തന്നെയാണെന്നുള്ള, കേസ് കൊടുത്ത ഡോക്ടറുടെ വാദം കോടതി അംഗീകരിക്കുകയും, മരുന്ന് കമ്പനി നഷ്ട പരിഹാരം കൊടുക്കേണ്ടുന്ന അവസ്ഥ വരുകയും ചെയ്തു, ഇതൊക്കെ ഓർക്കുന്നത് നന്ന്","ഓർമ വരുന്നത് പണ്ട് ഒരു താലിഡോമൈഡ് കേസുണ്ടായിരുന്നു, അതിന്റെ സുരക്ഷിതത്തെ പറ്റി നിർമാണ കമ്പനി അവസാന നിമിഷം വരെ വാദിച്ചു, അവസാനം അത് അപകടം തന്നെയാണെന്നുള്ള, കേസ് കൊടുത്ത ഡോക്ടറുടെ വാദം കോടതി അംഗീകരിക്കുകയും, മരുന്ന് കമ്പനി നഷ്ട പരിഹാരം കൊടുക്കേണ്ടുന്ന അവസ്ഥ വരുകയും ചെയ്തു, ഇതൊക്കെ ഓർക്കുന്നത് നന്ന്"
673,China ye nashipikuka thanne venam...ingne oru nariya pani avar kanichenkil avar athrakum manasakshi illathavaranu..kollanam avanmare...,Fake,1,china ye nashipikuka thanne venam...ingne oru nariya pani avar kanichenkil avar athrakum manasakshi illathavaranu..kollanam avanmare...,ചിന യെ നശിപിക്കുക തന്നെ വേണം...ഇങ്ങനെ ഒരു നരിയ പനി അവർ കാണിച്ചെങ്കിൽ അവർ അത്രകും മനസാക്ഷി ഇല്ലത്തവരാണ്..കൊല്ലണം അവന്മാരെ...
674,പോടീ പെണ്ണുമ്പിള്ളേ എന്ത് വന്നാലും പ്രവാസികളുടെ നെഞ്ചത്തോട്ട് കേറിയാൽ മതിയല്ലോ. കഷ്ടം 😭😭😭😭,original,0,പോടീ പെണ്ണുമ്പിള്ളേ എന്ത് വന്നാലും പ്രവാസികളുടെ നെഞ്ചത്തോട്ട് കേറിയാൽ മതിയല്ലോ. കഷ്ടം  ,പോടീ പെണ്ണുമ്പിള്ളേ എന്ത് വന്നാലും പ്രവാസികളുടെ നെഞ്ചത്തോട്ട് കേറിയാൽ മതിയല്ലോ. കഷ്ടം
675,ഞങ്ങൾ തിരുവാതിര കളിക്കും... ബേബി ചിരിക്കും,original,0,ഞങ്ങൾ തിരുവാതിര കളിക്കും... ബേബി ചിരിക്കും,ഞങ്ങൾ തിരുവാതിര കളിക്കും... ബേബി ചിരിക്കും
676,നാണം  കേട്ട  പാർട്ടികാർ  അവർക്കു  എന്തും  ആകാം കഷ്ടം,original,0,നാണം കേട്ട പാർട്ടികാർ അവർക്കു എന്തും ആകാം കഷ്ടം,നാണം കേട്ട പാർട്ടികാർ അവർക്കു എന്തും ആകാം കഷ്ടം
677,Avar parayunna karyangal adhyam anuvadhich koduk. Ennit parajayamanenkil ithu pole kutapeduthi ninnu kurakkada nayinte makkale....,Fake,1,avar parayunna karyangal adhyam anuvadhich koduk. ennit parajayamanenkil ithu pole kutapeduthi ninnu kurakkada nayinte makkale....,അവർ പറയുന്ന കാര്യങ്ങൾ അദ്ധ്യം അനുവദിച്ച് കൊടുക്ക്. എന്നിട്ട് പരാജയമാണെങ്കിൽ ഇതു പോലെ കുറ്റപെടുത്തി നിന്ന് കുറക്കട നായിന്റെ മക്കളെ....
678,Oru bootham thanne,original,0,oru bootham thanne,ഒരു ബൂതം തന്നെ
679,ഓക്കേ ബൈ പിണുവാതിര,original,0,ഓക്കേ ബൈ പിണുവാതിര,ഓക്കേ ബൈ പിണുവാതിര
680,"ഇ പരിപാടി നടക്കുന്ന സമയത്ത് ലോക്ക് ഡൌൺ, കർഫ്യൂ ഒന്നും ഉണ്ടായിരുന്നില്ല. ഇവിടെ പൊങ്കാല നടന്ന പോലെ അതു നടന്നു.. so ആരേം കുറ്റപ്പെടുത്തിയിട്ട് കാര്യമില്ല.",Fake,1,"ഇ പരിപാടി നടക്കുന്ന സമയത്ത് ലോക്ക് ഡൌൺ, കർഫ്യൂ ഒന്നും ഉണ്ടായിരുന്നില്ല. ഇവിടെ പൊങ്കാല നടന്ന പോലെ അതു നടന്നു.. ആരേം കുറ്റപ്പെടുത്തിയിട്ട് കാര്യമില്ല.","ഇ പരിപാടി നടക്കുന്ന സമയത്ത് ലോക്ക് ഡൌൺ, കർഫ്യൂ ഒന്നും ഉണ്ടായിരുന്നില്ല. ഇവിടെ പൊങ്കാല നടന്ന പോലെ അതു നടന്നു.. ആരേം കുറ്റപ്പെടുത്തിയിട്ട് കാര്യമില്ല."
681,marunadan  paranja  pole  aavatte..,Fake,1,marunadan paranja pole aavatte..,മറുനാടൻ പറഞ്ഞ പോലെ ആവട്ടെ..
682,"ഒന്നര വർഷമായിരുന്നൂ നിരങ്ങുന്നെൻ പുരയിലേ ചാരുകസേരയിൽ ........,..",Fake,1,"ഒന്നര വർഷമായിരുന്നൂ നിരങ്ങുന്നെൻ പുരയിലേ ചാരുകസേരയിൽ ........,..","ഒന്നര വർഷമായിരുന്നൂ നിരങ്ങുന്നെൻ പുരയിലേ ചാരുകസേരയിൽ ........,.."
683,ഈ തുള്ളിയ പെണുങ്ങളെ സമ്മതിക്കണം. നാണക്കേട്.. അയ്യോ... അയ്യയ്യേ...,original,0,ഈ തുള്ളിയ പെണുങ്ങളെ സമ്മതിക്കണം. നാണക്കേട്.. അയ്യോ... അയ്യയ്യേ...,ഈ തുള്ളിയ പെണുങ്ങളെ സമ്മതിക്കണം. നാണക്കേട്.. അയ്യോ... അയ്യയ്യേ...
684,ചൈന ആണ് ഈ കൊറോണ വൈറസിനെ ഉണ്ടാക്കി പുറത്ത് വിട്ടത് അതിൽ യാതൊരു സംശയവും ഇല്ല എന്ന് വേണം പറയാൻ അമേരിക്കയെ തകർത്ത ഒന്നാം സ്ഥാനം കൈയ്യടക്കുക അതിൽ അവർ ഏകദേശം വിജയിച്ചു എന്ന വേണം കരുതാൻ ചൈന ഇനിയും ലോകത്തിലെ ഒന്നാമത്തെ വൻ ശക്തി ആയി എന്ന കേൾക്കാൻ അധികൾ ഒന്നും വേണ്ട,Fake,1,ചൈന ആണ് ഈ കൊറോണ വൈറസിനെ ഉണ്ടാക്കി പുറത്ത് വിട്ടത് അതിൽ യാതൊരു സംശയവും ഇല്ല എന്ന് വേണം പറയാൻ അമേരിക്കയെ തകർത്ത ഒന്നാം സ്ഥാനം കൈയ്യടക്കുക അതിൽ അവർ ഏകദേശം വിജയിച്ചു എന്ന വേണം കരുതാൻ ചൈന ഇനിയും ലോകത്തിലെ ഒന്നാമത്തെ വൻ ശക്തി ആയി എന്ന കേൾക്കാൻ അധികൾ ഒന്നും വേണ്ട,ചൈന ആണ് ഈ കൊറോണ വൈറസിനെ ഉണ്ടാക്കി പുറത്ത് വിട്ടത് അതിൽ യാതൊരു സംശയവും ഇല്ല എന്ന് വേണം പറയാൻ അമേരിക്കയെ തകർത്ത ഒന്നാം സ്ഥാനം കൈയ്യടക്കുക അതിൽ അവർ ഏകദേശം വിജയിച്ചു എന്ന വേണം കരുതാൻ ചൈന ഇനിയും ലോകത്തിലെ ഒന്നാമത്തെ വൻ ശക്തി ആയി എന്ന കേൾക്കാൻ അധികൾ ഒന്നും വേണ്ട
685,വൈദ്യം അറിയാതെ  പുളു അടിക്കുക  ആണല്ലേ. പാഴ്‌വേല ?,Fake,1,വൈദ്യം അറിയാതെ പുളു അടിക്കുക ആണല്ലേ. പാഴ്‌വേല ?,വൈദ്യം അറിയാതെ പുളു അടിക്കുക ആണല്ലേ. പാഴ്‌വേല ?
686,Ini ippo Maman marum irangum paavangalude pocket l kayyidan. Athum koode aaayal sangathi nalla usharavum,original,0,ini ippo maman marum irangum paavangalude pocket l kayyidan. athum koode aaayal sangathi nalla usharavum,ഇനി ഇപ്പോ മാമൻ മാറും ഇറങ്ങും പാവങ്ങളുടെ പോക്കറ്റ് ൽ കയ്യിടാൻ. അതും കൂടെ ആയൽ സംഗതി നല്ല ഉഷാരവും
687,ചൈനയിൽ ബുദ്ധി ഉള്ളത് കൊണ്ട് അവർ അതിജീവിച്ചു റഷ്യയിൽ കൊറോണ ഉണ്ട് കൊറിയ ആദ്യം മുതൽ ശക്തമായ നടപടി എടുത്തത് കൊണ്ട് അവർ ഒരു പരിധി വരെ അതിജീവിച്ചു അമേരിക്ക ട്രംപ് ന്റെ അഹങ്കാരം കൊണ്ട് പാവപ്പെട്ട ജനങ്ങളെ കുരുതി കൊടുക്കുന്നു,Fake,1,ചൈനയിൽ ബുദ്ധി ഉള്ളത് കൊണ്ട് അവർ അതിജീവിച്ചു റഷ്യയിൽ കൊറോണ ഉണ്ട് കൊറിയ ആദ്യം മുതൽ ശക്തമായ നടപടി എടുത്തത് കൊണ്ട് അവർ ഒരു പരിധി വരെ അതിജീവിച്ചു അമേരിക്ക ട്രംപ് ന്റെ അഹങ്കാരം കൊണ്ട് പാവപ്പെട്ട ജനങ്ങളെ കുരുതി കൊടുക്കുന്നു,ചൈനയിൽ ബുദ്ധി ഉള്ളത് കൊണ്ട് അവർ അതിജീവിച്ചു റഷ്യയിൽ കൊറോണ ഉണ്ട് കൊറിയ ആദ്യം മുതൽ ശക്തമായ നടപടി എടുത്തത് കൊണ്ട് അവർ ഒരു പരിധി വരെ അതിജീവിച്ചു അമേരിക്ക ട്രംപ് ന്റെ അഹങ്കാരം കൊണ്ട് പാവപ്പെട്ട ജനങ്ങളെ കുരുതി കൊടുക്കുന്നു
688,Destroy them completely for such a cruelty to the world 🙏🏻,Fake,1,destroy completely cruelty world  ,ഡിസ്ട്രോയ് കംപ്ലീറ്റ്ലി ക്രൂയൽറ്റി വേർൽഡ്
689,Life of doctors is very short....why,Fake,1,life doctors short....why,ലൈഫ് ഡോക്ടർസ് ഷോർട്ട്....വൈ
690,സാജന്റെ വിലയിരുത്തലുകൾശരിയായി വരട്ടെ എന്ന് പ്രാർത്ഥിക്കാം,Fake,1,സാജന്റെ വിലയിരുത്തലുകൾശരിയായി വരട്ടെ എന്ന് പ്രാർത്ഥിക്കാം,സാജന്റെ വിലയിരുത്തലുകൾശരിയായി വരട്ടെ എന്ന് പ്രാർത്ഥിക്കാം
691,CPM ഉം BJP യും ആശയ പര്യായം മൂലം ഒരു നാണയങ്കിൻ്റെ ഇരു വശങ്ങളാണ്,original,0,cpm ഉം bjp യും ആശയ പര്യായം മൂലം ഒരു നാണയങ്കിൻ്റെ ഇരു വശങ്ങളാണ്,സിപിഎം ഉം ബിജെപി യും ആശയ പര്യായം മൂലം ഒരു നാണയങ്കിൻ്റെ ഇരു വശങ്ങളാണ്
692,കേരളത്തിലെ ഉള്ളു മക്കളെ ലോകം എന്നൊന്നും പറയല്ലേ,original,0,കേരളത്തിലെ ഉള്ളു മക്കളെ ലോകം എന്നൊന്നും പറയല്ലേ,കേരളത്തിലെ ഉള്ളു മക്കളെ ലോകം എന്നൊന്നും പറയല്ലേ
693,Mr സാജൻ സർ    നിങ്ങൾക്ക്    ഇപ്പോൾ   എന്താ    ഇത്ര നാണക്കേട്  ഉണ്ടാകാൻ മാത്രം ചെയ്തത് നിങ്ങൾ    അന്ന് നിങ്ങൾക്ക് രാജ്യ ദ്രോഹം ആയിരുന്നല്ലോ   ഏകദേശം  ഒരുപോലെ ആയിരുന്നല്ലോ രണ്ട് പരിപാടിയും   എന്നിട്ട് എന്തെ   2 തരം ഫീൽ വന്നത്     പറയാൻ ധൈര്യം ഇല്ല അല്ലേ 😄😄🤭,Fake,1,mr സാജൻ സർ നിങ്ങൾക്ക് ഇപ്പോൾ എന്താ ഇത്ര നാണക്കേട് ഉണ്ടാകാൻ മാത്രം ചെയ്തത് നിങ്ങൾ അന്ന് നിങ്ങൾക്ക് രാജ്യ ദ്രോഹം ആയിരുന്നല്ലോ ഏകദേശം ഒരുപോലെ ആയിരുന്നല്ലോ രണ്ട് പരിപാടിയും എന്നിട്ട് എന്തെ 2 തരം ഫീൽ വന്നത് പറയാൻ ധൈര്യം ഇല്ല അല്ലേ  ,എംആർ സാജൻ സർ നിങ്ങൾക്ക് ഇപ്പോൾ എന്താ ഇത്ര നാണക്കേട് ഉണ്ടാകാൻ മാത്രം ചെയ്തത് നിങ്ങൾ അന്ന് നിങ്ങൾക്ക് രാജ്യ ദ്രോഹം ആയിരുന്നല്ലോ ഏകദേശം ഒരുപോലെ ആയിരുന്നല്ലോ രണ്ട് പരിപാടിയും എന്നിട്ട് എന്തെ ൨ തരം ഫീൽ വന്നത് പറയാൻ ധൈര്യം ഇല്ല അല്ലേ
694,Communist china,Fake,1,communist china,കമ്മ്യൂണിസ്റ്റ് ചിന
695,"Thiruvathiraye nindikkunnathu hindu vine nindhikkunathinu thulyam, asianet thiruthanam",original,0,"thiruvathiraye nindikkunnathu hindu vine nindhikkunathinu thulyam, asianet thiruthanam","തിരുവാതിരയെ നിന്ദിക്കുന്നത് ഹിന്ദു വൈൻ നിന്ധിക്കുന്നതിന് തുല്യം, ഏഷ്യാനെറ്റ് തിരുത്തണം"
696,ഒരു വശത്ത് നാട് മുഴുവൻ അക്രമം... മറുവശത്ത് തിരുവാതിര... കളർ ആയിട്ടുണ്ട്.....,original,0,ഒരു വശത്ത് നാട് മുഴുവൻ അക്രമം... മറുവശത്ത് തിരുവാതിര... കളർ ആയിട്ടുണ്ട്.....,ഒരു വശത്ത് നാട് മുഴുവൻ അക്രമം... മറുവശത്ത് തിരുവാതിര... കളർ ആയിട്ടുണ്ട്.....
697,Padachon kakkatte,Fake,1,padachon kakkatte,പടച്ചോൻ കാക്കട്ടെ
698,ചൈനക്കെതിരെ എല്ലാ രാഷ്ട്രങ്ങളും നടപടിയെടുക്കണം നഷ്ടപരിഹാരവും വാങ്ങിക്കണം,Fake,1,ചൈനക്കെതിരെ എല്ലാ രാഷ്ട്രങ്ങളും നടപടിയെടുക്കണം നഷ്ടപരിഹാരവും വാങ്ങിക്കണം,ചൈനക്കെതിരെ എല്ലാ രാഷ്ട്രങ്ങളും നടപടിയെടുക്കണം നഷ്ടപരിഹാരവും വാങ്ങിക്കണം
699,മോശം,original,0,മോശം,മോശം
700,ജൈവയുടതിന്റെ പേര് പറഞ്ഞു ഇറാക്കിനെ ആക്രമിച്ചു കീഴ്ടാക്കിയ അമേരിക ചൈനയെ ആകര്മിക്കാൻ പിടുക്ക വിരക്കും,Fake,1,ജൈവയുടതിന്റെ പേര് പറഞ്ഞു ഇറാക്കിനെ ആക്രമിച്ചു കീഴ്ടാക്കിയ അമേരിക ചൈനയെ ആകര്മിക്കാൻ പിടുക്ക വിരക്കും,ജൈവയുടതിന്റെ പേര് പറഞ്ഞു ഇറാക്കിനെ ആക്രമിച്ചു കീഴ്ടാക്കിയ അമേരിക ചൈനയെ ആകര്മിക്കാൻ പിടുക്ക വിരക്കും
701,Made in china,Fake,1,made china,മേഡ് ചിന
702,Eee naad nashikkum ath urappa enn thonunnund ithoke kanumbo 🥴,original,0,eee naad nashikkum ath urappa enn thonunnund ithoke kanumbo  ,ഈ നാട് നശിക്കും അത് ഉറപ്പ എന്ന് തോനുന്നുണ്ട് ഇതൊകെ കാണുമ്പോ
703,എന്തുചെയ്യാനാ ഇക്കൂട്ടർക്കു സ്വന്തമായി ചിന്തിക്കാൻ ശേഷിയില്ല.,original,0,എന്തുചെയ്യാനാ ഇക്കൂട്ടർക്കു സ്വന്തമായി ചിന്തിക്കാൻ ശേഷിയില്ല.,എന്തുചെയ്യാനാ ഇക്കൂട്ടർക്കു സ്വന്തമായി ചിന്തിക്കാൻ ശേഷിയില്ല.
704,ഈ പിരാന്തികള ആദ്യം പിരിച്ച് വിടണം,original,0,ഈ പിരാന്തികള ആദ്യം പിരിച്ച് വിടണം,ഈ പിരാന്തികള ആദ്യം പിരിച്ച് വിടണം
705,ആരോട് പറയാൻ.... ആര് കേൾക്കാൻ 😏😏😏,original,0,ആരോട് പറയാൻ.... ആര് കേൾക്കാൻ  ,ആരോട് പറയാൻ.... ആര് കേൾക്കാൻ
706,കാരണഭൂതൻ കാല് കുത്തിയതേ ഉള്ളൂ. അമേരിക്കയിൽ സുനാമി ആയി,original,0,കാരണഭൂതൻ കാല് കുത്തിയതേ ഉള്ളൂ. അമേരിക്കയിൽ സുനാമി ആയി,കാരണഭൂതൻ കാല് കുത്തിയതേ ഉള്ളൂ. അമേരിക്കയിൽ സുനാമി ആയി
707,സോഷ്യൽ ഡിസ്റ്റൻസ് paalichallo,original,0,സോഷ്യൽ ഡിസ്റ്റൻസ് paalichallo,സോഷ്യൽ ഡിസ്റ്റൻസ് പാലിച്ചല്ലോ
708,ഇന്ന് അല്ലെ സമ്മേളനം അതൊക്കെ ഇപ്പൊ വേണൊ,original,0,ഇന്ന് അല്ലെ സമ്മേളനം അതൊക്കെ ഇപ്പൊ വേണൊ,ഇന്ന് അല്ലെ സമ്മേളനം അതൊക്കെ ഇപ്പൊ വേണൊ
709,ഞാനും ഒരു സിപിഎം കാരൻ ആണു. പക്ഷെ ഇതു വേണ്ടായിരുന്നു,original,0,ഞാനും ഒരു സിപിഎം കാരൻ ആണു. പക്ഷെ ഇതു വേണ്ടായിരുന്നു,ഞാനും ഒരു സിപിഎം കാരൻ ആണു. പക്ഷെ ഇതു വേണ്ടായിരുന്നു
710,കല്യാണത്തിനും മരണത്തിനും തിരുവാതിര സംഘടിപ്പിച്ചാൽ 500 പേർക്ക് പങ്കെടുക്കാം,original,0,കല്യാണത്തിനും മരണത്തിനും തിരുവാതിര സംഘടിപ്പിച്ചാൽ 500 പേർക്ക് പങ്കെടുക്കാം,കല്യാണത്തിനും മരണത്തിനും തിരുവാതിര സംഘടിപ്പിച്ചാൽ ൫൦൦ പേർക്ക് പങ്കെടുക്കാം
711,Parayippikkan aayitt,original,0,parayippikkan aayitt,പറയിപ്പിക്കാൻ ആയിട്ട്
712,Classic program,original,0,classic program,ക്ലാസിക് പ്രോഗ്രാം
713,Evaleyellam chattawar kondu Adichodikkanam😡😡😡😡,original,0,evaleyellam chattawar kondu adichodikkanam ,ഇവളെയെല്ലാം ചാട്ടവാർ കൊണ്ട് അടിച്ചോടിക്കണം
714,eth oru kali ann,Fake,1,eth oru kali ann,ഇത് ഒരു കളി അന്ന്
715,Agane samfavikkatte annu prathikkam,Fake,1,agane samfavikkatte annu prathikkam,അഗനെ സംഭവിക്കട്ടെ അന്നു പ്രതിക്കം
716,Ennitu pravasikalude mele corantain,original,0,ennitu pravasikalude mele corantain,എന്നിട്ട് പ്രവാസികളുടെ മേലെ കൊറന്റൈൻ
717,ayye,original,0,ayye,അയ്യേ
718,Secret sookkshikkunna rajyangal.....ellaam thurannu parayunna raajyangal.<br>Korona kazhiyumpol arokke thakarnnu arokke nilaninnu ennu nokkam. Appol ariyam korona evidence undu illa ennokke.,Fake,1,secret sookkshikkunna rajyangal.....ellaam thurannu parayunna raajyangal.korona kazhiyumpol arokke thakarnnu arokke nilaninnu ennu nokkam. appol ariyam korona evidence undu illa ennokke.,സീക്രട്ട് സൂക്ഷിക്കുന്ന രാജ്യങ്ങൾ.....എല്ലാം തുറന്നു പറയുന്ന രാജ്യങ്ങൾ.കൊറോണ കഴിയുമ്പോൾ ആരൊക്കെ തകർന്നു ആരൊക്കെ നിലനിന്നു എന്ന് നോക്കാം. അപ്പോൾ അറിയാം കൊറോണ എവിഡൻസ് ഉണ്ട് ഇല്ല എന്നൊക്കെ.
719,Idu  troll song  aano  ado  original anno  manasilagunnilla 🤪,original,0,idu troll song aano ado original anno manasilagunnilla  ,ഇടു ട്രോൾ സോങ് ആണോ അഡോ ഒറിജിനൽ അന്നോ മനസിലാഗുന്നില്ല
720,ഒരു ദുരഹതയും വേണ്ടാ ഇവർ ശാസ്ത്രീയമായി കോവിഡ് 19 പ്രധിരോധിച്ചു.  ഉത്തരകൊറിയ അഭിനന്ദനങ്ങൾ അർഹിക്കുന്നു.,Fake,1,ഒരു ദുരഹതയും വേണ്ടാ ഇവർ ശാസ്ത്രീയമായി കോവിഡ് 19 പ്രധിരോധിച്ചു. ഉത്തരകൊറിയ അഭിനന്ദനങ്ങൾ അർഹിക്കുന്നു.,ഒരു ദുരഹതയും വേണ്ടാ ഇവർ ശാസ്ത്രീയമായി കോവിഡ് ൧൯ പ്രധിരോധിച്ചു. ഉത്തരകൊറിയ അഭിനന്ദനങ്ങൾ അർഹിക്കുന്നു.
721,OMG,Fake,1,omg,ഓംഗ്
722,<b>ഈ നായ്ക്കൾ തന്നെ അല്ലെ കഴിഞ്ഞ ആഴ്ച്ച  അമേരിക്കയാണ് വയറസ് ഉണ്ടാക്കിയത് എന്നു പറഞ്ഞത്. Viewers കിട്ടാൻ അപ്പനെ വരെ മാറ്റി പറയുമോ</b>,Fake,1,ഈ നായ്ക്കൾ തന്നെ അല്ലെ കഴിഞ്ഞ ആഴ്ച്ച അമേരിക്കയാണ് വയറസ് ഉണ്ടാക്കിയത് എന്നു പറഞ്ഞത്. viewers കിട്ടാൻ അപ്പനെ വരെ മാറ്റി പറയുമോ,ഈ നായ്ക്കൾ തന്നെ അല്ലെ കഴിഞ്ഞ ആഴ്ച്ച അമേരിക്കയാണ് വയറസ് ഉണ്ടാക്കിയത് എന്നു പറഞ്ഞത്. വ്യൂവേഴ്സ് കിട്ടാൻ അപ്പനെ വരെ മാറ്റി പറയുമോ
723,ഡെൽറ്റയും ഉണ്ട് ഓമിക്രോണും ഉണ്ട് ഡെൽറ്റ ക്രോണും ഉണ്ട് 😛⚡️,original,0,ഡെൽറ്റയും ഉണ്ട് ഓമിക്രോണും ഉണ്ട് ഡെൽറ്റ ക്രോണും ഉണ്ട്  ,ഡെൽറ്റയും ഉണ്ട് ഓമിക്രോണും ഉണ്ട് ഡെൽറ്റ ക്രോണും ഉണ്ട്
724,സർ 99.9 % അങ്ങയെ അംഗീകരിക്കുന്ന ആളാണ് ഞാൻ . മരുന്നില്ലാതെ കൊറോണ മാറുന്നു എങ്കിൽ . സഖ്യത്തിന്റെ പിന്നിൽ ദൈവമല്ലെ . എന്ന് സംശയം,Fake,1,സർ 99.9 % അങ്ങയെ അംഗീകരിക്കുന്ന ആളാണ് ഞാൻ . മരുന്നില്ലാതെ കൊറോണ മാറുന്നു എങ്കിൽ . സഖ്യത്തിന്റെ പിന്നിൽ ദൈവമല്ലെ . എന്ന് സംശയം,സർ ൯൯.൯ % അങ്ങയെ അംഗീകരിക്കുന്ന ആളാണ് ഞാൻ . മരുന്നില്ലാതെ കൊറോണ മാറുന്നു എങ്കിൽ . സഖ്യത്തിന്റെ പിന്നിൽ ദൈവമല്ലെ . എന്ന് സംശയം
725,"Tiruvaathira raaavu... <br>Manasaaake nilaaavu...<br>Omicronum, coroonaaayum tullunna naaale....🤦‍♀😂😂😂",original,0,"tiruvaathira raaavu... manasaaake nilaaavu...omicronum, coroonaaayum tullunna naaale.... ‍ ","തിരുവാതിര റാവു... മനസാകെ നിലാവു...ഓമിക്രോണം, കൊറൂണായും തുള്ളുന്ന നാളെ.... ‍"
726,Aaah common everybody,original,0,aaah common everybody,ആഹ് കോമൺ എവരിബോഡി
727,This is not theory....its true,Fake,1,theory....its true,തിയറി....ഐടിഎസ് ട്രൂ
728,മണ്ടൻ മന്ത്രിമാർ ഉമ്മൻ ക്രോ മുന്നോടിയായി തിരുവാതിര കളി,original,0,മണ്ടൻ മന്ത്രിമാർ ഉമ്മൻ ക്രോ മുന്നോടിയായി തിരുവാതിര കളി,മണ്ടൻ മന്ത്രിമാർ ഉമ്മൻ ക്രോ മുന്നോടിയായി തിരുവാതിര കളി
729,അമ്മിഞ്ഞപാൽ കുടിച്ച ഏതൊരു വ നു ആലോചിയ്ക്കാവുന്നതല്ലേയുള്ളൂ ഇതിനു ഉത്തരം,Fake,1,അമ്മിഞ്ഞപാൽ കുടിച്ച ഏതൊരു വ നു ആലോചിയ്ക്കാവുന്നതല്ലേയുള്ളൂ ഇതിനു ഉത്തരം,അമ്മിഞ്ഞപാൽ കുടിച്ച ഏതൊരു വ നു ആലോചിയ്ക്കാവുന്നതല്ലേയുള്ളൂ ഇതിനു ഉത്തരം
730,"AAROGYA, MANDHIRIYUM,THiRUVAATHIRA,KALICHO,,,KASHTTAM,,, COVIDU NU,,SWAGATHAM,,,,KERALATHILEKKU,,,,,SAKHIKETTU,,,,,",original,0,"aarogya, mandhiriyum,thiruvaathira,kalicho,,,kashttam,,, covidu nu,,swagatham,,,,keralathilekku,,,,,sakhikettu,,,,,","ആരോഗ്യ, മന്ധിരിയും,തിരുവാതിര,കളിച്ചോ,,,കഷ്ട്ടം,,, കോവിഡ് നു,,സ്വാഗതം,,,,കേരളത്തിലേക്ക്,,,,,സഖികേട്ട്,,,,,"
731,"അർഹിക്കുന്നത് അവശേഷിക്കും,ബാകിഎല്ലാം നശിച്ചുപോകും.അങ്ങിനായിരിക്കും താങ്കൾ പറഞ്ഞുവരുന്നത്.(പരിണാമ സിന്ത്ഥാന്തം).",Fake,1,"അർഹിക്കുന്നത് അവശേഷിക്കും,ബാകിഎല്ലാം നശിച്ചുപോകും.അങ്ങിനായിരിക്കും താങ്കൾ പറഞ്ഞുവരുന്നത്.(പരിണാമ സിന്ത്ഥാന്തം).","അർഹിക്കുന്നത് അവശേഷിക്കും,ബാകിഎല്ലാം നശിച്ചുപോകും.അങ്ങിനായിരിക്കും താങ്കൾ പറഞ്ഞുവരുന്നത്.(പരിണാമ സിന്ത്ഥാന്തം)."
